millis,stamp,datetime,soil_moisture
12542999, 1566596205, 2019/8/23 21:36:45, 674
12572998, 1566596235, 2019/8/23 21:37:15, 675
12602999, 1566596265, 2019/8/23 21:37:45, 674
12632998, 1566596295, 2019/8/23 21:38:15, 675
12663000, 1566596325, 2019/8/23 21:38:45, 674
12692999, 1566596355, 2019/8/23 21:39:15, 675
12723000, 1566596385, 2019/8/23 21:39:45, 674
12752999, 1566596415, 2019/8/23 21:40:15, 674
12782999, 1566596445, 2019/8/23 21:40:45, 675
12812999, 1566596475, 2019/8/23 21:41:15, 675
12842999, 1566596505, 2019/8/23 21:41:45, 674
12872999, 1566596535, 2019/8/23 21:42:15, 675
12903000, 1566596565, 2019/8/23 21:42:45, 675
12933000, 1566596595, 2019/8/23 21:43:15, 676
12963000, 1566596625, 2019/8/23 21:43:45, 675
12992999, 1566596655, 2019/8/23 21:44:15, 676
13022999, 1566596685, 2019/8/23 21:44:45, 676
13052999, 1566596715, 2019/8/23 21:45:15, 676
13082999, 1566596745, 2019/8/23 21:45:45, 676
13112998, 1566596775, 2019/8/23 21:46:15, 675
13142999, 1566596805, 2019/8/23 21:46:45, 676
13172999, 1566596835, 2019/8/23 21:47:15, 676
13202999, 1566596865, 2019/8/23 21:47:45, 676
13232999, 1566596895, 2019/8/23 21:48:15, 676
13262998, 1566596925, 2019/8/23 21:48:45, 677
13292999, 1566596955, 2019/8/23 21:49:15, 676
13322999, 1566596985, 2019/8/23 21:49:45, 677
13352999, 1566597015, 2019/8/23 21:50:15, 676
13383000, 1566597045, 2019/8/23 21:50:45, 675
13413000, 1566597075, 2019/8/23 21:51:15, 676
13443000, 1566597105, 2019/8/23 21:51:45, 677
13472999, 1566597135, 2019/8/23 21:52:15, 676
13502999, 1566597165, 2019/8/23 21:52:45, 676
13532999, 1566597195, 2019/8/23 21:53:15, 676
13562999, 1566597225, 2019/8/23 21:53:45, 676
13592999, 1566597255, 2019/8/23 21:54:15, 677
13623000, 1566597285, 2019/8/23 21:54:45, 677
13653000, 1566597315, 2019/8/23 21:55:15, 676
13696999, 1566597360, 2019/8/23 21:56:0, 751
13711998, 1566597375, 2019/8/23 21:56:15, 706
13726999, 1566597390, 2019/8/23 21:56:30, 702
13741999, 1566597405, 2019/8/23 21:56:45, 703
13756999, 1566597420, 2019/8/23 21:57:0, 703
13771999, 1566597435, 2019/8/23 21:57:15, 702
13786999, 1566597450, 2019/8/23 21:57:30, 703
13801999, 1566597465, 2019/8/23 21:57:45, 703
13816999, 1566597480, 2019/8/23 21:58:0, 703
13831999, 1566597495, 2019/8/23 21:58:15, 704
13846999, 1566597510, 2019/8/23 21:58:30, 704
13861999, 1566597525, 2019/8/23 21:58:45, 704
13876999, 1566597540, 2019/8/23 21:59:0, 704
13891999, 1566597555, 2019/8/23 21:59:15, 703
13906999, 1566597570, 2019/8/23 21:59:30, 704
13921999, 1566597585, 2019/8/23 21:59:45, 703
13936999, 1566597600, 2019/8/23 22:0:0, 703
13951998, 1566597615, 2019/8/23 22:0:15, 702
13966999, 1566597630, 2019/8/23 22:0:30, 702
13981999, 1566597645, 2019/8/23 22:0:45, 703
13996999, 1566597660, 2019/8/23 22:1:0, 703
14011999, 1566597675, 2019/8/23 22:1:15, 703
14026999, 1566597690, 2019/8/23 22:1:30, 703
14041999, 1566597705, 2019/8/23 22:1:45, 702
14056999, 1566597720, 2019/8/23 22:2:0, 703
14071999, 1566597735, 2019/8/23 22:2:15, 703
14086999, 1566597750, 2019/8/23 22:2:30, 702
14101999, 1566597765, 2019/8/23 22:2:45, 703
14116999, 1566597780, 2019/8/23 22:3:0, 702
14131999, 1566597795, 2019/8/23 22:3:15, 701
14146999, 1566597810, 2019/8/23 22:3:30, 702
14161999, 1566597825, 2019/8/23 22:3:45, 702
14176999, 1566597840, 2019/8/23 22:4:0, 701
14191998, 1566597855, 2019/8/23 22:4:15, 701
14221999, 1566597885, 2019/8/23 22:4:45, 701
14236999, 1566597900, 2019/8/23 22:5:0, 701
14251999, 1566597915, 2019/8/23 22:5:15, 700
14266999, 1566597930, 2019/8/23 22:5:30, 701
14281999, 1566597945, 2019/8/23 22:5:45, 701
14327000, 1566597990, 2019/8/23 22:6:30, 699
14357000, 1566598020, 2019/8/23 22:7:0, 700
14386999, 1566598050, 2019/8/23 22:7:30, 700
14416999, 1566598080, 2019/8/23 22:8:0, 699
14446999, 1566598110, 2019/8/23 22:8:30, 699
14476999, 1566598140, 2019/8/23 22:9:0, 699
14506999, 1566598170, 2019/8/23 22:9:30, 699
14536998, 1566598200, 2019/8/23 22:10:0, 698
14567000, 1566598230, 2019/8/23 22:10:30, 698
14597000, 1566598260, 2019/8/23 22:11:0, 698
14641999, 1566598305, 2019/8/23 22:11:45, 697
14672000, 1566598335, 2019/8/23 22:12:15, 697
14702000, 1566598365, 2019/8/23 22:12:45, 698
14732000, 1566598395, 2019/8/23 22:13:15, 697
14762000, 1566598425, 2019/8/23 22:13:45, 696
14791999, 1566598455, 2019/8/23 22:14:15, 697
